predicted_target,predicted_target_str,actual_target_str,id
7.0,descending_stairs,descending_stairs,25769805484
4.6,walking,descending_stairs,25769805506
8.0,ascending_stairs,ascending_stairs,25769805608
5.0,walking,walking,25769806203
5.0,walking,walking,25769806291
5.0,walking,walking,25769806339
5.0,walking,walking,25769806426
6.0,cycling,cycling,25769806957
1.0,running,running,25769807245
4.0,rope_jumping,rope_jumping,25769807430
3.0,lying,lying,25769807816
3.0,lying,lying,34359738398
3.0,lying,lying,34359738893
3.0,lying,lying,34359738988
2.0,sitting,sitting,34359739499
2.0,sitting,sitting,34359739552
2.0,sitting,sitting,34359739694
2.0,sitting,sitting,34359740036
0.0,standing,standing,34359740216
0.0,standing,standing,34359740494
0.0,standing,standing,34359740587
0.0,standing,standing,34359740629
5.6,cycling,walking,34359741238
5.0,walking,walking,34359741558
5.0,walking,walking,34359742109
5.0,walking,walking,34359742178
5.6,cycling,walking,34359742241
5.0,walking,walking,34359742388
5.0,walking,walking,34359742413
6.0,cycling,cycling,42949673263
6.0,cycling,cycling,42949673366
3.0,lying,lying,42949673505
3.0,lying,lying,42949673632
3.0,lying,lying,42949673713
2.0,sitting,sitting,42949674099
2.0,sitting,sitting,42949674345
2.0,sitting,sitting,42949674461
0.0,standing,standing,42949674641
0.0,standing,standing,42949675020
7.8,ascending_stairs,ascending_stairs,42949675232
7.0,descending_stairs,descending_stairs,42949675579
6.8,descending_stairs,ascending_stairs,42949675627
8.0,ascending_stairs,ascending_stairs,42949675692
5.0,walking,ascending_stairs,42949675877
7.4,descending_stairs,ascending_stairs,42949675986
7.4,descending_stairs,descending_stairs,42949676027
5.0,walking,walking,51539608120
5.0,walking,walking,51539608349
6.0,cycling,cycling,51539608598
6.0,cycling,cycling,51539608871
1.0,running,running,51539609294
1.0,running,running,51539609346
1.0,running,running,51539609457
1.0,running,running,51539609521
3.0,lying,lying,51539609867
2.0,sitting,sitting,51539610134
0.0,standing,standing,51539610594
0.0,standing,standing,51539610852
8.0,ascending_stairs,ascending_stairs,51539610990
7.4,descending_stairs,descending_stairs,51539611156
7.0,descending_stairs,descending_stairs,51539611197
6.2,cycling,ascending_stairs,51539611367
2.2,sitting,descending_stairs,51539611533
7.0,descending_stairs,descending_stairs,60129542213
5.0,walking,walking,60129542543
5.0,walking,walking,60129542564
5.0,walking,walking,60129542797
5.0,walking,walking,60129543004
5.0,walking,walking,60129543145
5.0,walking,walking,60129543264
5.0,walking,walking,60129543365
6.0,cycling,cycling,60129543908
6.0,cycling,cycling,60129543941
6.0,cycling,cycling,60129543980
6.0,cycling,cycling,60129544318
6.0,cycling,cycling,60129544428
6.0,cycling,cycling,60129544479
1.8,sitting,running,60129544597
1.0,running,running,60129544603
1.0,running,running,60129544699
1.0,running,running,60129544763
1.0,running,running,60129544784
1.0,running,running,60129544926
1.0,running,running,60129544946
3.0,lying,lying,65
3.0,lying,lying,191
3.0,lying,lying,418
3.0,lying,lying,541
3.0,lying,lying,558
3.0,lying,lying,1010
3.0,lying,lying,1224
3.0,lying,lying,1258
3.0,lying,lying,1277
2.0,sitting,sitting,1360
2.0,sitting,sitting,1840
2.0,sitting,sitting,2173
0.0,standing,standing,2812
0.0,standing,standing,2895
0.0,standing,standing,2906
0.0,standing,standing,2941
8.0,ascending_stairs,ascending_stairs,3009
7.2,descending_stairs,ascending_stairs,3015
8.0,ascending_stairs,ascending_stairs,3061
7.0,descending_stairs,descending_stairs,8589934785
5.0,walking,ascending_stairs,8589934903
8.0,ascending_stairs,ascending_stairs,8589935056
7.0,descending_stairs,descending_stairs,8589935196
7.0,descending_stairs,descending_stairs,8589935211
5.0,walking,walking,8589935333
5.0,walking,walking,8589935762
6.0,cycling,cycling,8589936108
6.0,cycling,cycling,8589936245
3.0,lying,lying,8589936371
3.0,lying,lying,8589936382
3.0,lying,lying,8589936528
3.0,lying,lying,8589936556
3.0,lying,lying,8589936699
2.0,sitting,sitting,8589937217
2.0,sitting,sitting,8589938013
0.0,standing,standing,8589938049
0.0,standing,standing,8589938277
0.0,standing,standing,8589938370
0.0,standing,standing,8589938410
0.0,standing,standing,17179869191
5.6,cycling,ascending_stairs,17179869384
5.4,walking,descending_stairs,17179869576
6.4,cycling,ascending_stairs,17179869691
7.4,descending_stairs,ascending_stairs,17179869783
5.0,walking,descending_stairs,17179869879
5.0,walking,walking,17179870080
6.0,cycling,walking,17179870178
5.0,walking,walking,17179870190
5.0,walking,walking,17179870349
5.0,walking,walking,17179870503
6.0,cycling,cycling,17179870655
1.0,running,running,17179870902
1.0,running,running,17179871181
4.0,rope_jumping,rope_jumping,17179871246
4.0,rope_jumping,rope_jumping,17179871433
4.0,rope_jumping,rope_jumping,17179871486
3.0,lying,lying,17179871890
2.0,sitting,sitting,17179872237
2.0,sitting,sitting,25769803846
2.0,sitting,sitting,25769803859
2.0,sitting,sitting,25769803984
2.0,sitting,sitting,25769804049
0.0,standing,standing,25769804292
0.0,standing,standing,25769804588
0.0,standing,standing,25769804668
0.0,standing,standing,25769804731
0.0,standing,standing,25769804742
8.0,ascending_stairs,ascending_stairs,25769804839
7.0,descending_stairs,descending_stairs,25769805045
7.0,descending_stairs,descending_stairs,25769805495
7.2,descending_stairs,descending_stairs,25769805536
5.0,walking,walking,25769805901
5.0,walking,walking,25769806445
6.0,cycling,cycling,25769806601
6.0,cycling,cycling,25769806602
6.0,cycling,cycling,25769806892
6.0,cycling,cycling,25769807006
4.0,rope_jumping,rope_jumping,25769807523
4.0,rope_jumping,rope_jumping,25769807560
3.0,lying,lying,25769807807
3.0,lying,lying,25769807812
3.0,lying,lying,34359738457
3.0,lying,lying,34359738691
3.0,lying,lying,34359738695
3.0,lying,lying,34359739214
3.0,lying,lying,34359739267
3.0,lying,lying,34359739275
3.0,lying,lying,34359739344
2.0,sitting,sitting,34359739383
2.0,sitting,sitting,34359739428
2.0,sitting,sitting,34359739502
2.0,sitting,sitting,34359739609
2.0,sitting,sitting,34359739650
2.0,sitting,sitting,34359739777
2.0,sitting,sitting,34359740098
0.0,standing,standing,34359740669
0.0,standing,standing,34359740701
6.2,cycling,ascending_stairs,34359741043
6.2,cycling,descending_stairs,34359741121
5.0,walking,walking,34359741225
5.0,walking,walking,34359741508
5.0,walking,walking,34359741524
5.0,walking,walking,34359741766
5.0,walking,walking,34359741943
6.0,cycling,cycling,42949673244
6.0,cycling,cycling,42949673319
3.0,lying,lying,42949673878
3.0,lying,lying,42949674003
3.0,lying,lying,42949674032
2.0,sitting,sitting,42949674103
2.0,sitting,sitting,42949674369
2.0,sitting,sitting,42949674419
0.0,standing,standing,42949674546
0.0,standing,standing,42949674744
0.0,standing,standing,42949674881
0.0,standing,standing,42949675078
8.0,ascending_stairs,ascending_stairs,42949675246
7.0,descending_stairs,descending_stairs,42949675463
5.6,cycling,ascending_stairs,42949675878
7.0,descending_stairs,descending_stairs,42949675961
7.0,descending_stairs,descending_stairs,51539607590
5.0,walking,walking,51539607991
5.0,walking,walking,51539608147
5.0,walking,walking,51539608319
6.0,cycling,cycling,51539608456
6.0,cycling,cycling,51539608836
1.0,running,running,51539609544
1.0,running,running,51539609616
5.4,walking,rope_jumping,51539609704
4.0,rope_jumping,rope_jumping,51539609746
3.0,lying,lying,51539609844
0.0,standing,standing,51539610306
0.0,standing,standing,51539610521
0.0,standing,standing,51539610538
0.0,standing,standing,51539610579
0.0,standing,standing,51539610685
0.0,standing,standing,51539610705
6.2,cycling,descending_stairs,51539611159
5.0,walking,walking,60129542477
5.0,walking,walking,60129542563
5.0,walking,walking,60129542693
5.0,walking,walking,60129543397
5.0,walking,walking,60129543617
6.0,cycling,cycling,60129543836
6.0,cycling,cycling,60129543919
6.0,cycling,cycling,60129543962
6.0,cycling,cycling,60129544048
6.0,cycling,cycling,60129544206
6.0,cycling,cycling,60129544333
6.0,cycling,cycling,60129544392
1.0,running,running,60129544662
1.0,running,running,60129544695
1.0,running,running,60129544843
6.0,cycling,cycling,60129545221
6.0,cycling,cycling,60129545346
6.0,cycling,cycling,60129545438
3.0,lying,lying,222
3.0,lying,lying,270
3.0,lying,lying,293
3.0,lying,lying,730
3.0,lying,lying,938
3.0,lying,lying,1127
3.0,lying,lying,1145
2.0,sitting,sitting,1371
2.0,sitting,sitting,1409
2.0,sitting,sitting,1551
2.0,sitting,sitting,1642
2.0,sitting,sitting,2184
0.0,standing,standing,2517
0.0,standing,standing,2570
0.0,standing,standing,2581
0.0,standing,standing,2909
7.4,descending_stairs,ascending_stairs,2989
8.0,ascending_stairs,ascending_stairs,2994
7.4,descending_stairs,descending_stairs,8589935154
5.0,walking,walking,8589935367
5.0,walking,walking,8589935376
5.0,walking,walking,8589935385
6.0,cycling,cycling,8589936093
6.0,cycling,cycling,8589936196
3.0,lying,lying,8589936416
3.0,lying,lying,8589936756
3.0,lying,lying,8589936783
2.0,sitting,sitting,8589937007
2.0,sitting,sitting,8589937023
2.0,sitting,sitting,8589937040
2.0,sitting,sitting,8589937137
2.0,sitting,sitting,8589937256
2.0,sitting,sitting,8589937322
0.0,standing,standing,8589937343
0.0,standing,standing,8589937484
6.2,cycling,ascending_stairs,17179869241
8.0,ascending_stairs,ascending_stairs,17179869405
8.0,ascending_stairs,ascending_stairs,17179869430
5.6,cycling,ascending_stairs,17179869435
5.6,cycling,descending_stairs,17179869499
7.8,ascending_stairs,descending_stairs,17179869545
6.2,cycling,ascending_stairs,17179869670
7.2,descending_stairs,descending_stairs,17179869871
6.6,descending_stairs,descending_stairs,17179869925
6.2,cycling,walking,17179870069
5.0,walking,walking,17179870176
6.0,cycling,cycling,17179870588
1.0,running,running,17179870897
1.0,running,running,17179870926
1.0,running,running,17179871102
4.0,rope_jumping,rope_jumping,17179871253
4.0,rope_jumping,rope_jumping,17179871364
4.0,rope_jumping,rope_jumping,17179871414
3.0,lying,lying,17179871675
3.0,lying,lying,17179871776
2.0,sitting,sitting,17179872093
2.0,sitting,sitting,17179872129
2.0,sitting,sitting,17179872227
2.0,sitting,sitting,25769803830
2.0,sitting,sitting,25769803831
0.0,standing,standing,25769804266
0.0,standing,standing,25769804282
0.0,standing,standing,25769804504
7.0,descending_stairs,descending_stairs,25769805168
6.8,descending_stairs,ascending_stairs,25769805641
7.0,descending_stairs,descending_stairs,25769805787
5.0,walking,walking,25769806006
5.0,walking,walking,25769806251
5.0,walking,walking,25769806421
6.0,cycling,cycling,25769806847
4.0,rope_jumping,rope_jumping,25769807429
4.0,rope_jumping,rope_jumping,25769807536
4.0,rope_jumping,rope_jumping,25769807539
4.0,rope_jumping,rope_jumping,25769807626
4.0,rope_jumping,rope_jumping,25769807682
4.0,rope_jumping,lying,25769807733
3.0,lying,lying,34359738411
3.0,lying,lying,34359738755
3.0,lying,lying,34359738784
3.0,lying,lying,34359739150
2.0,sitting,sitting,34359739437
2.0,sitting,sitting,34359739951
0.0,standing,standing,34359740197
0.0,standing,standing,34359740203
0.0,standing,standing,34359740274
0.0,standing,standing,34359740293
0.0,standing,standing,34359740534
7.0,descending_stairs,descending_stairs,34359740928
7.0,descending_stairs,descending_stairs,34359741134
5.0,walking,walking,34359741258
5.0,walking,walking,34359741391
5.0,walking,walking,34359741770
5.0,walking,walking,34359741806
5.0,walking,walking,34359741892
5.0,walking,walking,34359741964
5.0,walking,walking,34359742132
5.0,walking,walking,34359742152
5.6,cycling,walking,34359742366
6.0,cycling,cycling,42949673333
3.0,lying,lying,42949673590
3.0,lying,lying,42949673628
2.0,sitting,sitting,42949674212
0.0,standing,standing,42949674626
0.0,standing,standing,42949674631
0.0,standing,standing,42949674634
0.0,standing,standing,42949674646
0.0,standing,standing,42949674774
0.0,standing,standing,42949674824
0.0,standing,standing,42949674955
0.0,standing,standing,42949675100
6.8,descending_stairs,descending_stairs,42949675539
8.0,ascending_stairs,ascending_stairs,42949675909
6.6,descending_stairs,descending_stairs,42949675925
5.0,walking,walking,51539607711
5.0,walking,walking,51539607720
5.0,walking,walking,51539608059
6.0,cycling,cycling,51539608455
1.0,running,running,51539609142
1.0,running,running,51539609175
4.2,rope_jumping,running,51539609232
1.0,running,running,51539609248
1.0,running,running,51539609308
1.0,running,running,51539609472
6.4,cycling,running,51539609615
2.4,sitting,running,51539609622
4.0,rope_jumping,rope_jumping,51539609706
2.0,sitting,sitting,51539609963
2.0,sitting,sitting,51539609986
0.0,standing,standing,51539610634
7.4,descending_stairs,ascending_stairs,51539611005
6.2,cycling,ascending_stairs,51539611020
6.0,cycling,descending_stairs,51539611162
1.6,sitting,descending_stairs,51539611176
8.0,ascending_stairs,ascending_stairs,51539611338
7.2,descending_stairs,ascending_stairs,51539611349
7.2,descending_stairs,descending_stairs,51539611507
7.4,descending_stairs,descending_stairs,51539611511
7.2,descending_stairs,descending_stairs,60129542194
6.6,descending_stairs,descending_stairs,60129542385
5.0,walking,walking,60129542441
5.0,walking,walking,60129542644
5.0,walking,walking,60129542759
5.0,walking,walking,60129542790
5.0,walking,walking,60129542845
5.0,walking,walking,60129542866
5.0,walking,walking,60129543148
6.0,cycling,cycling,60129543881
6.0,cycling,cycling,60129544221
1.0,running,running,60129544628
6.0,cycling,cycling,60129545336
1.0,running,running,60129545484
3.0,lying,lying,243
3.0,lying,lying,278
3.0,lying,lying,367
3.0,lying,lying,442
3.0,lying,lying,705
3.0,lying,lying,720
3.0,lying,lying,1175
3.0,lying,lying,1202
2.0,sitting,sitting,1463
2.0,sitting,sitting,1532
2.0,sitting,sitting,1690
2.0,sitting,sitting,1919
2.0,sitting,sitting,1936
2.0,sitting,sitting,2030
2.0,sitting,sitting,2371
0.0,standing,standing,2520
0.0,standing,standing,2598
0.0,standing,standing,2797
0.0,standing,standing,2944
6.8,descending_stairs,ascending_stairs,3034
8.0,ascending_stairs,ascending_stairs,8589934592
7.0,descending_stairs,descending_stairs,8589934843
8.0,ascending_stairs,ascending_stairs,8589935025
5.2,walking,walking,8589935309
6.0,cycling,cycling,8589936126
3.0,lying,lying,8589936725
2.0,sitting,sitting,8589936858
2.0,sitting,sitting,8589936902
2.0,sitting,sitting,8589936946
2.0,sitting,sitting,8589936999
1.2,running,sitting,8589937118
0.0,standing,standing,8589937201
2.0,sitting,sitting,8589937363
0.0,standing,standing,8589937392
0.0,standing,standing,8589937432
0.0,standing,standing,8589937651
2.0,sitting,sitting,8589937936
1.6,sitting,standing,8589938032
0.0,standing,standing,8589938072
0.0,standing,standing,8589938215
0.0,standing,standing,8589938266
0.0,standing,standing,8589938316
8.0,ascending_stairs,ascending_stairs,17179869441
6.2,cycling,descending_stairs,17179869547
7.2,descending_stairs,descending_stairs,17179869585
8.0,ascending_stairs,ascending_stairs,17179869652
8.0,ascending_stairs,ascending_stairs,17179869819
6.8,descending_stairs,ascending_stairs,17179869831
6.0,cycling,descending_stairs,17179869878
6.2,cycling,descending_stairs,17179869913
6.0,cycling,cycling,17179870629
4.2,rope_jumping,running,17179870896
1.0,running,running,17179871146
4.0,rope_jumping,rope_jumping,17179871406
3.0,lying,lying,17179872056
2.0,sitting,sitting,25769803852
1.6,sitting,sitting,25769804218
0.0,standing,standing,25769804271
0.0,standing,standing,25769804431
0.0,standing,standing,25769804762
8.0,ascending_stairs,ascending_stairs,25769804830
7.0,descending_stairs,descending_stairs,25769805137
7.0,descending_stairs,descending_stairs,25769805802
5.0,walking,walking,25769805963
5.0,walking,walking,25769806416
4.0,rope_jumping,rope_jumping,25769807460
4.0,rope_jumping,rope_jumping,25769807639
3.0,lying,lying,25769807840
3.0,lying,lying,34359738369
3.0,lying,lying,34359738851
3.0,lying,lying,34359739225
3.0,lying,lying,34359739243
2.0,sitting,sitting,34359739617
2.0,sitting,sitting,34359739647
2.0,sitting,sitting,34359739713
2.0,sitting,sitting,34359740114
2.0,sitting,sitting,34359740144
2.0,sitting,sitting,34359740167
0.0,standing,standing,34359740249
8.0,ascending_stairs,ascending_stairs,34359740986
5.0,walking,walking,34359741706
5.0,walking,walking,34359742359
6.0,cycling,cycling,42949672976
6.0,cycling,cycling,42949673064
6.0,cycling,cycling,42949673069
6.0,cycling,cycling,42949673135
3.0,lying,lying,42949673545
3.0,lying,lying,42949673657
3.0,lying,lying,42949673692
2.0,sitting,sitting,42949674102
2.0,sitting,sitting,42949674147
2.0,sitting,sitting,42949674197
2.0,sitting,sitting,42949674351
0.0,standing,standing,42949674693
0.0,standing,standing,42949674924
0.0,standing,standing,42949674949
0.0,standing,standing,42949675086
8.0,ascending_stairs,ascending_stairs,42949675166
8.0,ascending_stairs,ascending_stairs,42949675283
2.2,sitting,descending_stairs,42949675406
7.0,descending_stairs,descending_stairs,42949675421
6.6,descending_stairs,descending_stairs,42949675444
7.0,descending_stairs,descending_stairs,42949675517
7.4,descending_stairs,ascending_stairs,42949675968
7.4,descending_stairs,ascending_stairs,42949675977
5.0,walking,walking,51539607700
5.0,walking,walking,51539607718
5.0,walking,walking,51539607963
6.0,cycling,cycling,51539608709
3.4,lying,running,51539609126
1.0,running,running,51539609463
4.0,rope_jumping,rope_jumping,51539609785
2.0,sitting,sitting,51539610016
2.0,sitting,sitting,51539610099
2.0,sitting,sitting,51539610259
0.0,standing,standing,51539610268
0.0,standing,standing,51539610347
0.0,standing,standing,51539610482
0.0,standing,standing,51539610606
0.0,standing,standing,51539610781
8.0,ascending_stairs,descending_stairs,51539611251
7.0,descending_stairs,ascending_stairs,51539611399
7.6,ascending_stairs,descending_stairs,51539611630
7.0,descending_stairs,descending_stairs,51539611644
7.0,descending_stairs,descending_stairs,60129542344
5.0,walking,walking,60129542678
5.0,walking,walking,60129542956
5.0,walking,walking,60129543179
5.0,walking,walking,60129543258
5.0,walking,walking,60129543295
5.0,walking,walking,60129543414
6.0,cycling,cycling,60129544079
6.0,cycling,cycling,60129544176
6.0,cycling,cycling,60129544279
1.0,running,running,60129544780
1.0,running,running,60129544781
1.0,running,running,60129545068
6.0,cycling,cycling,60129545232
6.0,cycling,cycling,60129545252
6.0,cycling,cycling,60129545279
6.0,cycling,cycling,60129545338
3.0,lying,lying,19
3.0,lying,lying,54
3.0,lying,lying,296
3.0,lying,lying,926
3.0,lying,lying,965
3.0,lying,lying,1217
3.0,lying,lying,1280
2.0,sitting,sitting,1447
2.0,sitting,sitting,1537
2.0,sitting,sitting,1671
2.0,sitting,sitting,1782
2.0,sitting,sitting,1951
0.0,standing,standing,2551
0.0,standing,standing,2857
8.0,ascending_stairs,ascending_stairs,3051
8.0,ascending_stairs,ascending_stairs,3069
8.0,ascending_stairs,ascending_stairs,8589934961
7.0,descending_stairs,descending_stairs,8589935140
5.2,walking,descending_stairs,8589935145
7.0,descending_stairs,descending_stairs,8589935205
4.2,rope_jumping,walking,8589935484
5.0,walking,walking,8589935545
5.6,cycling,walking,8589935564
5.0,walking,walking,8589935655
6.0,cycling,cycling,8589936047
3.0,lying,lying,8589936489
2.0,sitting,sitting,8589937314
2.0,sitting,sitting,8589937511
2.0,sitting,sitting,8589937999
0.0,standing,standing,8589938264
0.0,standing,standing,8589938284
0.0,standing,standing,8589938563
7.2,descending_stairs,ascending_stairs,17179869313
7.0,descending_stairs,descending_stairs,17179870016
2.4,sitting,running,17179870687
1.0,running,running,17179870720
1.0,running,running,17179871186
4.0,rope_jumping,rope_jumping,17179871400
3.0,lying,lying,17179871528
3.0,lying,lying,17179871927
3.0,lying,lying,17179871946
3.0,lying,lying,17179872031
2.0,sitting,sitting,17179872186
2.0,sitting,sitting,17179872218
2.0,sitting,sitting,25769804123
0.0,standing,standing,25769804348
0.0,standing,standing,25769804732
8.0,ascending_stairs,ascending_stairs,25769804955
7.0,descending_stairs,descending_stairs,25769805000
6.6,descending_stairs,descending_stairs,25769805181
5.0,walking,walking,25769805931
5.0,walking,walking,25769806017
5.0,walking,walking,25769806473
5.0,walking,walking,25769806523
6.0,cycling,cycling,25769806628
1.0,running,running,25769807228
1.0,running,running,25769807348
5.8,cycling,rope_jumping,25769807561
4.0,rope_jumping,rope_jumping,25769807666
3.0,lying,lying,34359738454
3.0,lying,lying,34359738585
3.0,lying,lying,34359738613
3.0,lying,lying,34359739137
2.0,sitting,sitting,34359739538
2.0,sitting,sitting,34359739697
2.0,sitting,sitting,34359739843
2.0,sitting,sitting,34359739959
2.0,sitting,sitting,34359740026
0.0,standing,standing,34359740369
0.0,standing,standing,34359740518
0.0,standing,standing,34359740655
7.2,descending_stairs,descending_stairs,34359741075
5.8,cycling,walking,34359741253
6.2,cycling,walking,34359741478
6.0,cycling,cycling,34359742462
6.0,cycling,cycling,42949673218
6.0,cycling,cycling,42949673313
6.0,cycling,cycling,42949673352
6.0,cycling,cycling,42949673419
6.0,cycling,cycling,42949673444
3.0,lying,lying,42949673534
3.0,lying,lying,42949673681
3.0,lying,lying,42949674030
2.0,sitting,sitting,42949674108
2.0,sitting,sitting,42949674358
0.0,standing,standing,42949674851
0.0,standing,standing,42949674864
0.0,standing,standing,42949674931
0.0,standing,standing,42949674934
0.0,standing,standing,42949674987
5.0,walking,ascending_stairs,42949675203
7.0,descending_stairs,descending_stairs,42949675472
8.0,ascending_stairs,ascending_stairs,42949675637
7.4,descending_stairs,ascending_stairs,42949675778
6.0,cycling,cycling,51539608657
6.0,cycling,cycling,51539608682
6.0,cycling,cycling,51539608890
1.0,running,running,51539609112
1.0,running,running,51539609156
1.0,running,running,51539609482
1.0,running,running,51539609507
4.6,walking,running,51539609619
2.0,sitting,sitting,51539609951
2.0,sitting,sitting,51539610148
0.0,standing,standing,51539610383
0.0,standing,standing,51539610412
0.0,standing,standing,51539610633
0.0,standing,standing,51539610850
5.0,walking,descending_stairs,51539611217
7.0,descending_stairs,descending_stairs,51539611268
8.0,ascending_stairs,ascending_stairs,51539611426
6.2,cycling,ascending_stairs,51539611435
5.8,cycling,descending_stairs,51539611566
7.2,descending_stairs,descending_stairs,51539611610
7.0,descending_stairs,descending_stairs,60129542281
5.0,walking,walking,60129542373
5.0,walking,walking,60129542499
5.0,walking,walking,60129542719
5.0,walking,walking,60129542749
5.0,walking,walking,60129542788
5.0,walking,walking,60129543054
5.6,cycling,walking,60129543262
5.0,walking,walking,60129543361
6.2,cycling,walking,60129543532
6.0,cycling,cycling,60129543866
6.0,cycling,cycling,60129544296
1.0,running,running,60129544629
1.0,running,running,60129544959
1.0,running,running,60129544964
1.0,running,running,60129544983
6.0,cycling,cycling,60129545274
1.0,running,running,60129545531
3.0,lying,lying,0
3.0,lying,lying,277
3.0,lying,lying,287
3.0,lying,lying,348
3.0,lying,lying,415
3.0,lying,lying,847
3.0,lying,lying,1077
2.0,sitting,sitting,1336
2.0,sitting,sitting,1594
2.0,sitting,sitting,1958
2.0,sitting,sitting,2157
0.0,standing,standing,2486
0.0,standing,standing,2648
0.0,standing,standing,2940
8.0,ascending_stairs,ascending_stairs,8589935027
7.2,descending_stairs,ascending_stairs,8589935033
8.0,ascending_stairs,ascending_stairs,8589935034
7.0,descending_stairs,descending_stairs,8589935133
5.0,walking,walking,8589935407
5.0,walking,walking,8589935607
6.0,cycling,cycling,8589936080
6.0,cycling,cycling,8589936144
6.0,cycling,cycling,8589936150
6.0,cycling,cycling,8589936203
3.0,lying,lying,8589936714
3.0,lying,lying,8589936755
2.0,sitting,sitting,8589936838
2.0,sitting,sitting,8589937705
2.0,sitting,sitting,8589937785
2.0,sitting,sitting,8589937901
0.0,standing,standing,8589938034
0.0,standing,standing,8589938046
0.0,standing,standing,8589938393
0.0,standing,standing,8589938518
7.0,descending_stairs,descending_stairs,17179869201
7.8,ascending_stairs,ascending_stairs,17179869308
7.2,descending_stairs,ascending_stairs,17179869759
6.6,descending_stairs,ascending_stairs,17179869844
6.6,descending_stairs,descending_stairs,17179869937
6.2,cycling,descending_stairs,17179869963
5.0,walking,walking,17179870214
5.0,walking,walking,17179870322
5.0,walking,walking,17179870362
6.0,cycling,cycling,17179870645
1.0,running,running,17179870700
6.6,descending_stairs,running,17179870900
1.2,running,running,17179871022
4.0,rope_jumping,rope_jumping,17179871262
3.0,lying,lying,17179871906
2.0,sitting,sitting,25769804010
2.0,sitting,sitting,25769804085
8.0,ascending_stairs,ascending_stairs,25769804946
7.0,descending_stairs,descending_stairs,25769805014
6.6,descending_stairs,descending_stairs,25769805031
7.0,descending_stairs,descending_stairs,25769805357
7.0,descending_stairs,descending_stairs,25769805447
8.0,ascending_stairs,ascending_stairs,25769805654
7.4,descending_stairs,ascending_stairs,25769805676
7.0,descending_stairs,descending_stairs,25769805851
6.2,cycling,walking,25769805893
6.0,cycling,cycling,25769806909
6.0,cycling,cycling,25769807058
1.0,running,running,25769807336
4.0,rope_jumping,rope_jumping,25769807465
3.0,lying,lying,25769807775
3.0,lying,lying,34359738696
3.0,lying,lying,34359739194
3.0,lying,lying,34359739256
2.0,sitting,sitting,34359739606
2.0,sitting,sitting,34359739989
2.0,sitting,sitting,34359740137
0.0,standing,standing,34359740218
0.0,standing,standing,34359740648
0.0,standing,standing,34359740664
1.0,running,standing,34359740705
5.0,walking,walking,34359741439
5.6,cycling,walking,34359741459
5.0,walking,walking,34359741600
5.0,walking,walking,34359741718
5.0,walking,walking,34359742209
5.6,cycling,walking,34359742299
6.0,cycling,cycling,42949673073
6.0,cycling,cycling,42949673108
6.0,cycling,cycling,42949673182
6.0,cycling,cycling,42949673273
6.0,cycling,cycling,42949673453
3.0,lying,lying,42949673503
3.0,lying,lying,42949674012
2.0,sitting,sitting,42949674253
0.0,standing,standing,42949674519
0.0,standing,standing,42949674624
0.0,standing,standing,42949674972
5.8,cycling,descending_stairs,42949675500
7.0,descending_stairs,descending_stairs,42949675560
7.0,descending_stairs,descending_stairs,42949675605
8.0,ascending_stairs,ascending_stairs,42949675668
8.0,ascending_stairs,ascending_stairs,42949675706
7.0,descending_stairs,descending_stairs,51539607568
5.0,walking,walking,51539607886
5.0,walking,walking,51539608071
5.0,walking,walking,51539608111
6.2,cycling,walking,51539608226
